Unique ID;Author's Sample Name;Core Dates;Depth;Core-Class;Referenced Data;Ia;Ib;Ic;IIa_5me;IIa_6me;IIb_5me;IIb_6me;IIc_5me;IIc_6me;IIIa_5me;IIIa_6me;IIIb_5me;IIIb_6me;IIIc_5me;IIIc_6me;Sample type;Modern or Fossil;;;PeatTestCore;LakeTestCore;SoilTestCore
Kanli-1;Vanevan peat;-69;-69;Kanli-Core;Robles et al., In Prep;0.156237055;0.12126553;0.018257889;0.320776888;0.073308345;0.046462722;0.025765409;0.004183307;0.003047137;0.125679959;0.057338597;0.002683585;0.004454968;0.000540265;0.001095142;Core;Fossil;;1;0.279868141;0.642877606;0.07210684
Kanli-2;>A1 15-17;796;796;Kanli-Core;Robles et al., In Prep;0.114127763;0.116932439;0.034317754;0.207959182;0.092874778;0.127811135;0.046286004;0.015290105;0.002736262;0.087785204;0.066827131;0.006387573;0.005552457;0.000811754;0.000416682;Core;Fossil;;2;0.439689226;0.980034696;0.002158996
Kanli-3;>A1 25-27;1167;1167;Kanli-Core;Robles et al., In Prep;0.129083045;0.115377843;0.031091068;0.232275527;0.087514456;0.095819535;0.036203917;0.016879174;0.002101861;0.092833732;0.073356974;0.004330099;0.006409328;0.001112947;0.000555254;Core;Fossil;;3;0.549181006;0.935058007;0.004598638
Kanli-4;>A1 33-35;1463;1463;Kanli-Core;Robles et al., In Prep;0.16135353;0.088071083;0.026240741;0.239437409;0.10591949;0.080479835;0.030884047;0.016996746;0.001477586;0.10094219;0.078650381;0.003839113;0.005168609;0.001255;0.000447718;Core;Fossil;;4;0.4631897;0.85849098;0.010561713
Kanli-5;A1 0-1;1832;1832;Kanli-Core;Robles et al., In Prep;0.208215156;0.110016523;0.04110123;0.185487136;0.102422713;0.104023221;0.01977972;0.013560456;0.001581814;0.073519651;0.057030037;0.005034655;0.004623926;0;0.000840527;Core;Fossil;;5;0.509026211;0.949693467;0.0049216
Kanli-6;A1 6-7;2043;2043;Kanli-Core;Robles et al., In Prep;0.142703191;0.103275512;0.036764619;0.219245205;0.089455727;0.106597102;0.019880668;0.017530532;0.001948641;0.111614019;0.064246212;0.006420107;0.004623288;0.001076508;0.001805869;Core;Fossil;;6;0.604611072;0.972135202;0.002506615
Kanli-7;A1 10-11;2184;2184;Kanli-Core;Robles et al., In Prep;0.158609464;0.090350465;0.031311139;0.189209564;0.101349962;0.110894721;0.024121473;0.016666161;0.002723727;0.107074403;0.071255148;0.007872297;0.007128656;0.001682292;0.000437611;Core;Fossil;;7;0.359077207;0.978665104;0.002407645
Kanli-8;A1 14-15;2325;2325;Kanli-Core;Robles et al., In Prep;0.154411855;0.108044782;0.028296201;0.225215663;0.085541888;0.101962783;0.020947854;0.016247757;0.002093859;0.102772615;0.069640286;0.006439845;0.005869782;0.001890896;0.00077626;Core;Fossil;;8;0.483500028;0.962513262;0.003674625
Kanli-9;A1 18-19;2527;2527;Kanli-Core;Robles et al., In Prep;0.15842548;0.102972868;0.029055546;0.221689491;0.089067174;0.099535912;0.017698305;0.016826275;0.000958058;0.108024212;0.072162049;0.006372488;0.006843229;0.001761955;0.000486359;Core;Fossil;;9;0.456115491;0.961357465;0.003672615
Kanli-10;A1 22-23;2789;2789;Kanli-Core;Robles et al., In Prep;0.149823724;0.098246175;0.021752088;0.229126875;0.111620835;0.080718518;0.019564251;0.011584366;0.001973689;0.112684285;0.084298397;0.005111699;0.006765804;0.001250723;0.000741025;Core;Fossil;;10;0.224434672;0.930967247;0.0113995
Kanli-11;A1 26-27;3052;3052;Kanli-Core;Robles et al., In Prep;0.14037806;0.101644107;0.017756458;0.239552308;0.137460076;0.073636318;0.025371025;0.008111233;0.003043965;0.11522796;0.076111798;0.004655355;0.005872636;0.000638297;0.001083989;Core;Fossil;;11;0.096731543;0.903833162;0.031331538
Kanli-12;A1 30-31;3315;3315;Kanli-Core;Robles et al., In Prep;0.155540647;0.113496608;0.021838535;0.243383362;0.121840128;0.072783185;0.028504558;0.014508345;0.003364903;0.097701248;0.0588617;0.004466589;0.004570516;0.000974774;0.00100009;Core;Fossil;;12;0.305406026;0.861872819;0.022214677
